SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
20MICRONS,EQ,60,60,58.75,59.75,59.95,58.4,33522,1998734.9,04-NOV-2021,423,INE144J01027,
21STCENMGM,EQ,58.75,58.75,58.75,58.75,58.75,57.6,2420,142175,04-NOV-2021,7,INE253B01015,
3IINFOLTD,BE,47.85,47.85,47.85,47.85,47.85,45.6,3048,145846.8,04-NOV-2021,92,INE748C01038,
3MINDIA,EQ,26605,26861,26551.9,26669,26737,26758.15,583,15576083.9,04-NOV-2021,377,INE470A01017,
3PLAND,EQ,13.7,13.7,12.55,13.2,13.05,13.1,937,12287.1,04-NOV-2021,41,INE105C01023,
5PAISA,EQ,435.6,441,435,438.45,439,432.5,1980,868087.4,04-NOV-2021,176,INE618L01018,
63MOONS,EQ,98.95,99.25,98.15,98.45,98.25,98.3,15000,1479166.2,04-NOV-2021,381,INE111B01023,
667GS2050,GS,97.99,98.25,97.99,98.25,98.25,97.99,111,10879.75,04-NOV-2021,3,IN0020200252,
676GS2061,GS,97.99,97.99,95.5,97.91,97,98,9273,906780.61,04-NOV-2021,15,IN0020200401,
719GS2060,GS,104,104.1,104,104,104.1,109,800,83205,04-NOV-2021,4,IN0020200039,
A2ZINFRA,EQ,5.05,5.15,4.95,5,5,4.95,312237,1582987.45,04-NOV-2021,480,INE619I01012,
AAATECH,SM,56,61,56,60.5,60,55.5,21000,1259700,04-NOV-2021,7,INE0D0U01013,
AAKASH,EQ,196.7,211.5,196.7,208.4,211,201.9,16686,3473894.35,04-NOV-2021,285,INE087Z01016,
AAREYDRUGS,EQ,34.9,34.9,32.85,33.45,33.15,33.15,7965,266370.05,04-NOV-2021,137,INE198H01019,
AARON,EQ,108.1,112.9,108.1,109.95,109.55,108.1,1517,166806.8,04-NOV-2021,44,INE721Z01010,
AARTIDRUGS,EQ,599.7,599.7,567.7,576.8,578.3,563.25,97406,56381968.7,04-NOV-2021,6508,INE767A01016,
AARTIIND,EQ,955,960.9,951.15,958.55,958.85,947.65,158886,152163576.95,04-NOV-2021,11624,INE769A01020,
AARTISURF,EQ,1259.9,1322,1255.15,1284.65,1280.1,1252.3,5969,7643074,04-NOV-2021,904,INE09EO01013,
AARVEEDEN,EQ,26.7,27.35,26.5,26.8,26.95,26.65,15056,405951.35,04-NOV-2021,85,INE273D01019,
