SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
20MICRONS,EQ,36.2,37.4,36.2,37,37,36.15,8092,298617.2,27-OCT-2019,129,INE144J01027,
21STCENMGM,EQ,13.1,13.1,13.1,13.1,13.1,12.9,250,3275,27-OCT-2019,6,INE253B01015,
3IINFOTECH,EQ,2,2.15,2,2.1,2.1,1.95,424909,902948.1,27-OCT-2019,319,INE748C01020,
3MINDIA,EQ,22140,22389.95,21825.15,22249.15,22295,21898.1,1590,35251877.3,27-OCT-2019,625,INE470A01017,
5PAISA,EQ,163.9,168.5,160.2,166.95,167,160.5,2990,493940.9,27-OCT-2019,82,INE618L01018,
63MOONS,EQ,123.1,124,121.05,122,122.1,122.45,30361,3725469.1,27-OCT-2019,537,INE111B01023,
8KMILES,BZ,35.75,35.75,35.75,35.75,35.75,34.05,2710,96882.5,27-OCT-2019,40,INE650K01021,
A2ZINFRA,EQ,8.65,9.1,8.6,8.9,9,8.5,144597,1275186,27-OCT-2019,338,INE619I01012,
AAKASH,SM,18.3,20.15,18.3,20.15,20.15,16.8,4000,76900,27-OCT-2019,2,INE087Z01016,
AARON,SM,49,49,49,49,49,49.5,3300,161700,27-OCT-2019,1,INE721Z01010,
AARTIDRUGS,EQ,520.95,530,520,527.3,528.1,520.55,8375,4417069.8,27-OCT-2019,506,INE767A01016,
AARTIIND,EQ,882,888,865.05,877.55,876.1,869.95,22544,19788571.3,27-OCT-2019,2183,INE769A01020,
AARVEEDEN,EQ,13.65,15.8,13.5,14,14.7,14.3,465,6551.6,27-OCT-2019,33,INE273D01019,
AAVAS,EQ,1632,1660,1606,1650.05,1657,1624.1,8535,13981007.75,27-OCT-2019,785,INE216P01012,
ABAN,BE,24.55,25.5,24.55,25.2,25,25.05,8594,215176.1,27-OCT-2019,103,INE421A01028,
ABB,EQ,1509,1524.4,1501,1515.6,1518.95,1495.25,6183,9356172.55,27-OCT-2019,803,INE117A01022,
ABBOTINDIA,EQ,11490,11950,11489.85,11897.35,11895,11407.25,7035,83396432.55,27-OCT-2019,1914,INE358A01014,
