Date,Open,High,Low,Close,SharesTraded,Turnover(Rs.Cr)
01-Jan-2018,31043.80,31174.75,30855.60,30899.60,143943936,2473.70
02-Jan-2018,31022.85,31060.10,30554.30,30798.30,197622545,3664.29
03-Jan-2018,30932.35,31085.60,30900.90,30973.60,162447064,3297.48
04-Jan-2018,31074.10,31341.75,30971.55,31300.65,206645985,4133.69
05-Jan-2018,31428.65,31729.40,31423.75,31696.15,234822430,5237.43
08-Jan-2018,31764.90,31936.05,31763.50,31919.70,146210814,3569.80
09-Jan-2018,31968.00,31990.80,31651.75,31782.05,162371412,3716.54
10-Jan-2018,31829.90,31914.30,31614.10,31727.95,153747991,4170.81
11-Jan-2018,31731.95,31784.95,31584.05,31695.80,123218122,3079.60
12-Jan-2018,31786.75,31825.00,31382.70,31704.85,141247328,3822.06
15-Jan-2018,31783.15,31888.20,31604.00,31639.55,113938189,2902.70
16-Jan-2018,31719.05,31738.65,31036.60,31122.20,153975602,3563.70
17-Jan-2018,31126.50,31376.30,30653.35,31348.05,159535288,3814.71
18-Jan-2018,31520.10,31546.45,30687.25,30931.85,174765344,4114.37
19-Jan-2018,30953.40,31221.95,30786.35,31165.65,129400919,3219.70
22-Jan-2018,31207.25,31458.25,31082.15,31404.60,114475993,3328.95
23-Jan-2018,31483.85,31700.55,31470.20,31628.30,190955496,4820.22
24-Jan-2018,31538.90,31607.90,31316.25,31440.65,213735197,5637.38
25-Jan-2018,31511.35,31525.70,30949.05,31013.10,308038778,6646.53
29-Jan-2018,31132.00,31239.50,30836.75,30891.20,145255609,3906.77
30-Jan-2018,30852.75,30873.40,30664.30,30712.40,131797721,3483.16
31-Jan-2018,30644.40,30709.80,30277.55,30500.30,175160634,4595.05
01-Feb-2018,30605.40,30701.85,29950.80,30524.85,179503445,4960.83
02-Feb-2018,30253.50,30299.85,29454.20,29656.45,252792228,6163.53
05-Feb-2018,29250.20,29650.00,28954.40,29559.05,188466898,4406.70
06-Feb-2018,28366.80,29288.45,28171.00,29138.85,222241027,5164.41
07-Feb-2018,29527.15,29604.95,29251.40,29351.15,180709945,4139.65
08-Feb-2018,29453.25,29919.00,29429.60,29827.35,170325327,4203.50
09-Feb-2018,29285.45,29796.25,29280.35,29728.95,168570283,3856.57
12-Feb-2018,29986.10,30222.10,29930.65,30171.85,198553757,4307.72
14-Feb-2018,30337.45,30353.85,30005.25,30110.25,239708067,5141.99
15-Feb-2018,30184.45,30235.35,29778.40,29833.75,300688062,5550.74
16-Feb-2018,29967.60,30026.60,29381.55,29501.90,294682635,5405.20
19-Feb-2018,29560.85,29560.85,28971.35,29182.55,263669600,4666.68
20-Feb-2018,29211.90,29437.10,29081.10,29315.70,266466414,4653.92
21-Feb-2018,29465.20,29467.90,29096.85,29190.45,180167240,3743.67
22-Feb-2018,29150.35,29150.35,28871.30,28920.45,230583280,5130.12
23-Feb-2018,29035.55,29414.90,29010.90,29375.65,179740970,3922.65
