"Date","Open","High","Low","Close","SharesTraded","Turnover(Rs.Cr)"
"03-Jan-2022","17387.15","17646.65","17383.30","17625.70","200456430","16181.36"
"04-Jan-2022","17681.40","17827.60","17593.55","17805.25","247437472","18604.16"
"05-Jan-2022","17820.10","17944.70","17748.85","17925.25","251460038","23737.31"
"06-Jan-2022","17768.50","17797.95","17655.55","17745.90","236454824","22643.82"
"07-Jan-2022","17797.60","17905.00","17704.55","17812.70","239338015","21447.89"
"10-Jan-2022","17913.30","18017.45","17879.15","18003.30","232418075","20853.64"
"11-Jan-2022","17997.75","18081.25","17964.40","18055.75","220238796","20781.46"
"12-Jan-2022","18170.40","18227.95","18128.80","18212.35","244974287","22298.69"
"13-Jan-2022","18257.00","18272.25","18163.80","18257.80","303700545","28670.93"
"14-Jan-2022","18185.00","18286.95","18119.65","18255.75","229451608","21024.51"
"17-Jan-2022","18235.65","18321.55","18228.75","18308.10","266702919","23859.38"
"18-Jan-2022","18337.20","18350.95","18085.90","18113.05","227507319","20852.67"
"19-Jan-2022","18129.20","18129.20","17884.90","17938.40","276662654","25310.19"
"20-Jan-2022","17921.00","17943.70","17648.45","17757.00","258094246","25863.29"
"21-Jan-2022","17613.70","17707.60","17485.85","17617.15","277645373","25941.64"
"24-Jan-2022","17575.15","17599.40","16997.85","17149.10","323847388","28387.73"
"25-Jan-2022","17001.55","17309.15","16836.80","17277.95","326515896","31344.46"
"27-Jan-2022","17062.00","17182.50","16866.75","17110.15","395596577","36296.64"
"28-Jan-2022","17208.30","17373.50","17077.10","17101.95","355284285","29799.89"
"31-Jan-2022","17301.05","17410.00","17264.15","17339.85","321660346","25474.13"
"01-Feb-2022","17529.45","17622.40","17244.55","17576.85","386391485","30033.66"
"02-Feb-2022","17706.20","17794.60","17674.80","17780.00","271205907","23611.59"
"03-Feb-2022","17767.75","17781.15","17511.15","17560.20","226614989","20373.06"
"04-Feb-2022","17590.20","17617.80","17462.55","17516.30","261434170","20651.85"
"07-Feb-2022","17456.30","17536.75","17119.40","17213.60","265037933","21925.11"
"08-Feb-2022","17279.85","17306.45","17043.65","17266.75","268526210","23846.16"
"09-Feb-2022","17370.10","17477.15","17339.00","17463.80","236350514","19327.67"
"10-Feb-2022","17554.10","17639.45","17427.15","17605.85","273606440","22210.93"
"11-Feb-2022","17451.00","17454.75","17303.00","17374.75","253141660","23230.82"
